201600767,2016-01-23,1444,VEHICLE THEFT,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201600823,2016-01-25,558,VEHICLE THEFT,0 BLK BELMONT RD,-76.4633337,37.0486905,R
201600824,2016-01-25,748,VEHICLE THEFT,100 BLK WINDSOR PINES WAY,-76.5230958,37.1464632,R
201600908,2016-01-27,1854,VEHICLE THEFT,1100 BLK JEBS PL,-76.4038391,36.9802478,R
201650767,2016-01-29,745,VEHICLE THEFT,1000 BLK 26TH ST,-76.4118525,36.9859147,R
201600948,2016-01-29,844,VEHICLE THEFT,1300 BLK GRANADA CT,-76.5178291,37.1474696,R
201601001,2016-01-30,55,VEHICLE THEFT,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD,-76.459018,37.097899,C
201601009,2016-01-30,1201,VEHICLE THEFT,1000 BLK OMNI BLVD,-76.4633177,37.0892762,C
201650826,2016-01-31,321,VEHICLE THEFT,200 BLK POPLAR AVE,-76.3949047,36.9907037,R
201601041,2016-01-31,1359,VEHICLE THEFT,73RD ST / WARWICK BLVD,-76.4473145,37.0126135,R
201601095,2016-02-02,545,VEHICLE THEFT,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201601097,2016-02-02,629,VEHICLE THEFT,300 BLK MADELINE PL,-76.4705894,37.0782914,R
201650903,2016-02-02,1635,VEHICLE THEFT,300 BLK TOWN POINTE WAY,-76.46001,37.037536,R
201650925,2016-02-03,1107,VEHICLE THEFT,100 BLK LARK CIR,-76.4607032,37.0642669,R
201601136,2016-02-03,1540,VEHICLE THEFT,600 BLK 44TH ST,-76.423668,36.993707,C
201601155,2016-02-04,854,VEHICLE THEFT,500 BLK PURLIEU DR,-76.4731117,37.078796,R
201601206,2016-02-06,148,VEHICLE THEFT,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201601207,2016-02-06,222,VEHICLE THEFT,0 BLK SIDNEY PL,-76.458094,37.0367373,R
201601212,2016-02-06,1305,VEHICLE THEFT,13100 BLK JEFFERSON AVE,-76.5367568,37.1607763,M
201601230,2016-02-07,432,VEHICLE THEFT,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C
